Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,2026-08-10 21:16:32,false,"Base","2.67","310","00:33:01","150","165","3.3","155","163","12:22","10:48","--","--","0.84","10.1","8.5","300","--","244","0.0","242","288","5,094","'-6","78.8","No","00:00:00.7","4","86.0","00:32:45","00:33:01","--","--"
Treadmill Running,2026-08-03 22:14:46,false,"Base","2.65","324","00:33:08","154","168","3.3","154","161","12:29","11:06","--","--","0.84","10.1","8.5","304","--","243","0.0","241","278","5,068","'-5","80.6","No","00:00:07.6","4","86.0","00:32:53","00:33:08","--","--"
Running,2026-07-26 06:31:23,false,"Palm Beach County - Ice Cream 10k","6.25","881","01:22:41","178","202","5.0","142","173","13:14","8:11","23","23","0.84","9.3","7.7","286","13:10","242","0.0","216","393","11,962","'-23","82.4","No","00:04:20.1","7","91.4","01:21:43","01:22:41","14","27"
Treadmill Running,2026-07-16 21:31:25,false,"Recovery","2.10","272","00:28:07","146","160","3.0","153","161","13:23","12:20","--","--","0.79","10.4","8.3","307","--","228","0.0","225","249","4,276","'-5","82.4","No","00:00:06.6","4","86.0","00:27:37","00:28:07","--","--"
Treadmill Running,2026-07-14 22:04:10,false,"Base","2.91","368","00:36:06","152","163","3.5","155","163","12:23","10:23","--","--","0.85","10.1","8.5","301","--","245","0.0","242","296","5,574","'-6","80.6","No","00:00:06.4","4","87.8","00:35:45","00:36:06","--","--"
Treadmill Running,2026-07-13 17:39:36,false,"Threshold","3.64","444","00:45:06","153","174","3.6","148","165","12:23","9:24","--","--","0.88","9.5","8.4","298","--","252","0.0","236","329","6,660","'-8","80.6","No","00:00:05.7","8","95.0","00:44:28","00:46:48","--","--"
Treadmill Running,2026-07-12 12:40:13,false,"Base","2.54","329","00:31:09","158","169","3.5","155","163","12:15","10:34","--","--","0.85","10.1","8.6","300","--","247","0.0","245","299","4,814","'-7","78.8","No","00:00:08.9","4","89.6","00:31:00","00:31:09","--","--"
Treadmill Running,2026-07-11 10:01:26,false,"Base","4.03","542","00:50:01","162","178","4.6","154","161","12:25","11:03","--","--","0.84","10.2","8.5","303","--","243","0.0","242","273","7,680","'-12","84.2","No","00:00:01.2","6","91.4","00:49:51","00:50:01","--","--"
Treadmill Running,2026-07-09 20:59:56,false,"Base","4.51","575","00:57:08","152","167","3.9","154","162","12:40","11:25","--","--","0.83","10.2","8.5","304","--","239","0.0","237","268","8,742","'-6","80.6","No","00:00:08.1","6","86.0","00:56:45","00:57:08","--","--"
Treadmill Running,2026-07-07 20:09:50,false,"Treadmill Running","1.45","178","00:19:46","142","164","2.6","142","166","13:38","10:27","--","--","0.85","9.5","8.0","299","--","234","0.0","210","290","2,792","'-3","80.6","No","00:06:44.7","2","84.2","00:19:11","00:19:46","--","--"
Treadmill Running,2026-07-02 18:49:45,false,"Base","4.13","593","00:55:09","161","171","4.5","149","158","13:21","11:53","--","--","0.82","10.3","8.5","315","--","231","0.0","225","261","8,198","'-8","82.4","No","00:00:09.1","6","89.6","00:53:39","01:01:58","--","--"
Treadmill Running,2026-06-30 21:03:00,false,"Base","4.72","602","00:58:06","155","170","4.4","154","161","12:18","10:16","--","--","0.85","10.1","8.6","303","--","246","0.0","244","307","8,892","'-7","80.6","No","00:00:06.5","6","84.2","00:57:51","00:58:06","--","--"
Treadmill Running,2026-06-28 12:43:19,false,"Treadmill Running","1.28","172","00:16:56","150","159","2.9","149","158","13:15","12:17","--","--","0.82","10.3","8.3","308","--","232","0.0","225","248","2,516","'-4","82.4","No","00:03:59.2","2","87.8","00:16:49","00:16:56","--","--"
Treadmill Running,2026-06-27 19:35:34,false,"Treadmill Running","1.11","129","00:13:37","143","165","2.4","154","167","12:19","9:18","--","--","0.86","10.0","8.6","300","--","253","0.0","243","330","2,100","'-4","80.6","No","00:01:14.3","2","87.8","00:13:18","00:13:37","--","--"
Treadmill Running,2026-06-23 21:42:58,false,"Tempo","3.28","437","00:41:02","159","177","4.2","154","166","12:31","10:23","--","--","0.85","9.9","8.4","297","--","246","0.0","237","294","6,314","'-6","77.0","No","00:01:02.1","7","86.0","00:40:17","00:41:02","--","--"
Treadmill Running,2026-06-21 11:51:51,false,"Long Run","5.85","730","01:13:08","152","167","4.2","155","165","12:31","10:07","--","--","0.83","10.2","8.5","301","--","242","0.0","240","312","11,298","'-15","78.8","No","00:00:08.4","7","87.8","01:12:51","01:13:08","--","--"
Treadmill Running,2026-06-19 07:10:53,false,"Treadmill Running","2.21","264","00:27:08","147","164","3.2","156","163","12:18","9:45","--","--","0.85","10.0","8.6","297","--","249","0.0","244","328","4,214","'-8","78.8","No","00:02:30.6","3","84.2","00:26:32","00:27:18","--","--"
Running,2026-06-17 21:21:04,false,"Base","2.17","275","00:27:00","151","170","3.4","157","167","12:26","11:09","--","13","0.83","10.1","8.4","297","--","244","0.0","242","277","4,238","'-5","80.6","No","00:00:00.3","4","86.0","00:26:43","00:27:04","195","211"
Treadmill Running,2026-06-14 08:22:05,false,"Treadmill Running","2.02","242","00:23:15","155","165","3.5","156","165","11:30","9:39","--","--","0.90","9.8","8.8","294","--","263","0.0","260","328","3,620","'-8","78.8","No","00:00:14.1","3","84.2","00:23:06","00:23:17","--","--"
Treadmill Running,2026-06-13 16:03:00,false,"Base","2.34","296","00:28:07","157","172","3.9","153","161","12:00","9:51","--","--","0.88","9.9","8.7","299","--","255","0.0","250","318","4,300","'-7","82.4","No","00:00:07.4","4","87.8","00:27:32","00:28:07","--","--"
Running,2026-06-06 07:05:34,false,"Baltimore Running","10.01","1,404","02:34:59","168","189","5.0","130","226","15:29","10:03","427","453","0.78","8.9","6.9","292","15:27","206","0.0","177","356","20,406","'-31","77.0","No","00:00:04.9","11","93.2","02:34:55","03:05:53","163","276"
Treadmill Running,2026-06-04 21:45:02,false,"Treadmill Running","2.77","389","00:35:01","162","175","4.5","153","161","12:37","10:46","--","--","0.84","10.2","8.5","307","--","240","0.0","238","287","5,328","'-5","78.8","No","00:09:22.5","3","86.0","00:34:48","00:35:03","--","--"
Running,2026-06-01 21:06:28,false,"Prince George's County Running","1.17","170","00:18:35","150","177","2.7","124","170","15:50","8:14","46","49","0.83","10.1","8.0","300","15:23","238","0.0","196","406","2,448","'-4","71.6","No","00:03:21.2","2","78.8","00:16:36","00:19:25","215","231"
Running,2026-05-30 09:14:36,false,"Prince George's County Running","3.04","456","00:40:47","168","193","4.8","135","173","13:24","9:08","151","154","0.85","9.0","7.7","285","13:11","248","0.0","213","448","5,716","'-14","75.2","No","00:00:56.0","4","87.8","00:39:44","00:40:47","6","87"
Running,2026-05-16 08:06:10,false,"Washington Running","3.20","445","00:45:39","164","185","3.7","138","172","14:16","8:33","69","62","0.80","10.1","7.6","295","14:18","229","0.0","201","365","6,590","'-11","69.8","No","00:02:13.1","4","78.8","00:45:26","00:48:56","9","58"
Running,2026-05-03 08:17:02,false,"Philadelphia - Independence Blue Cross Broad Street Run (10 Mile)","10.14","1,381","02:14:03","172","189","5.0","148","175","13:13","8:43","161","318","0.81","9.8","7.9","292","13:17","237","0.0","219","388","20,094","'-26","59.0","No","00:02:30.0","11","82.4","02:13:44","02:14:05","7","173"
Running,2026-04-26 07:15:47,false,"Alexandria - Base","3.12","410","00:40:17","165","184","3.4","156","170","12:54","8:41","102","105","0.80","10.1","8.1","294","12:52","248","0.0","240","374","6,284","'-8","55.4","No","00:00:06.1","5","66.2","00:39:55","00:40:17","16","56"
Running,2026-04-18 08:23:11,false,"Prince George's County Running","2.00","250","00:36:47","137","177","2.2","116","170","18:22","8:44","62","69","0.82","9.9","6.6","294","18:13","202","0.0","145","390","4,482","'-5","80.6","No","00:00:08.4","3","89.6","00:36:29","00:36:50","209","238"
Running,2026-04-16 20:07:24,false,"Prince George's County Running","2.49","409","00:35:56","165","189","4.4","130","177","14:26","8:26","98","62","0.86","9.7","7.7","288","14:14","243","0.0","198","379","4,914","'-10","86.0","No","00:00:15.0","4","89.6","00:34:48","00:41:02","207","237"
Treadmill Running,2026-04-15 19:21:08,false,"Treadmill Running","7.01","978","01:24:42","166","184","5.0","154","167","12:05","9:20","--","--","0.87","9.8","8.4","292","--","252","0.0","243","331","13,044","'-13","80.6","No","00:00:06.1","8","86.0","01:23:26","01:24:42","--","--"
